"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"AT1G01010"	124.021112060673	0.31481289148326	0.158358767810323	1.98797260067301	0.0468147203356399	0.256416414875745
"AT1G01020"	94.099929371726	-0.232063246454932	0.159109335305875	-1.45851433549646	0.144698826677159	0.505558860327914
"AT1G01030"	5.43927835373367	0.332801879185164	0.705867327046371	0.47147936507805	0.63729845196673	0.906766697642172
"AT1G01040"	237.8028073475	0.09409515839002	0.100120707583869	0.939817153321638	0.347311358585857	0.748604529484142
"AT1G01046"	1.14189186779562	-0.624261572134169	1.35607140176106	-0.4603456509174	0.645268138711905	NA
"AT1G01050"	514.880458730642	0.0791149346351892	0.0880343902328175	0.898682144852259	0.368821990196782	0.766090115361835
"AT1G01060"	7.84580040797029	-0.343142755474009	0.527903807860192	-0.650010002513347	0.515685760562057	0.852866321580018
"AT1G01070"	121.597496462185	0.0679785430879619	0.171470973037487	0.396443443947218	0.691777922241007	0.925843468571295
"AT1G01080"	51.7567343690655	0.0131279669256705	0.212410098938587	0.0618048152666515	0.950718268792752	0.991715461101996
"AT1G01090"	825.939110934165	0.0417115173623741	0.0641029938824446	0.650695308223308	0.515243192449844	0.852614338172707
"AT1G01100"	1638.21215770615	-0.0444546347029581	0.0572474696400966	-0.776534491086427	0.437433463907787	0.810586162490446
"AT1G01110"	60.1487174110269	-0.631834003488155	0.207248517402734	-3.0486780383589	0.00229850671164857	0.0270381897074334
"AT1G01120"	493.816845631762	0.777306038901471	0.0812037026472381	9.57229798101957	1.04555439493042e-21	2.20361479923201e-19
"AT1G01130"	18.9224153256371	0.148502551323865	0.35668123759086	0.41634528445314	0.677157360224963	0.920981488215617
"AT1G01140"	26.1669831838021	0.548672517299385	0.347726625078	1.5778846879393	0.11459210330984	0.444505756569784
"AT1G01150"	1.29050726702096	0.374302329351186	1.16975819900894	0.319982650831862	0.748981482318522	NA
"AT1G01160"	104.157602613409	-0.0487042794086604	0.14642551028699	-0.332621544655719	0.739419978273254	0.942587328471033
"AT1G01170"	12.2781422213291	0.392711629834374	0.446029245291469	0.880461615421084	0.378609290374538	0.77268324056452
"AT1G01180"	90.2984728410483	0.0347352379359752	0.163007729043228	0.213089515079152	0.831257142598414	0.967266262145946
"AT1G01190"	261.390348690609	0.646518056244262	0.105821436125701	6.10951882637737	9.9931967841611e-10	5.12078901617323e-08
"AT1G01200"	43.0687050536662	0.365721142663771	0.221045297520767	1.65450768130189	0.0980244039129026	0.404843389338591
"AT1G01210"	55.3540716632625	0.0886540938073241	0.200622208445065	0.441895712814863	0.658564673131395	0.913717275695503
"AT1G01220"	154.306805508181	-0.00486090695345724	0.121345639362641	-0.0400583570945671	0.968046601358782	0.995387003164263
"AT1G01225"	37.4875770785272	0.00890987218371947	0.236025048289356	0.0377496890617998	0.969887258064346	0.995605032426171
"AT1G01230"	229.590876078626	0.152825526614466	0.111510758927426	1.37050028252367	0.170530787267968	0.551085995654495
"AT1G01240"	185.496276856131	-0.174983115040944	0.113993143077528	-1.53503193540278	0.124775983740734	0.466911869618321
"AT1G01250"	1.2973608601561	0.0519069260193807	1.40215593523907	0.0370193676144375	0.970469563200787	NA
"AT1G01260"	136.065363977861	0.0741818547623135	0.133618172455707	0.55517788784983	0.5787729919521	0.881755438105797
"AT1G01290"	88.9075602337672	0.0628466972928941	0.150520481420869	0.417529207318764	0.676291365400958	0.920981488215617
"AT1G01300"	516.553336058933	0.115652232919423	0.0739991937822489	1.56288503979845	0.118079637059595	0.45179752205499
"AT1G01310"	0.529123251912987	-0.226389718761057	1.61140743974392	-0.140491916058818	0.888271339196118	NA
"AT1G01320"	186.120583157742	0.05785122214826	0.122789091898938	0.47114300833721	0.637538614004224	0.906766697642172
"AT1G01340"	249.972460203862	-0.0395461018718906	0.112660606211215	-0.351019785902358	0.725573504716231	0.937154722050655
"AT1G01350"	149.208059833823	-0.115691788903899	0.123049344231214	-0.940206464542475	0.347111666497206	0.748298379031332
"AT1G01360"	162.955357980808	-0.0751106163193155	0.11949137591833	-0.628586086167858	0.529620071740442	0.858734571291593
"AT1G01370"	45.4205369575129	-0.108529727740254	0.241622176554289	-0.449171219661906	0.653308147273876	0.912421158671515
"AT1G01380"	23.720516831636	0.631109395196566	0.346566744719701	1.82103275865952	0.0686018773854995	0.327264866408556
"AT1G01420"	30.5159825414679	0.58292736181743	0.274116140866995	2.12657073010624	0.0334557666264543	0.204134658067868
"AT1G01430"	155.545221418576	0.19730877267096	0.127392756901696	1.54882253488882	0.121424386812607	0.460106991996423
"AT1G01440"	140.938474140482	-0.117063181020289	0.130270929759717	-0.89861323041304	0.368858709057458	0.766090115361835
"AT1G01448"	31.3901871224662	-0.609564874728987	0.260204642995112	-2.34263642536324	0.019148032136391	0.137725607613082
"AT1G01453"	20.376712754146	0.233737325280827	0.382314128264314	0.611375065687428	0.540951305882464	0.864197341021562
"AT1G01470"	695.393073071754	0.558162512802001	0.0749318098714009	7.44893942585836	9.40935580982076e-14	8.27736939565667e-12
