"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"AT1G01010"	21.2243600801183	-0.0479656802644981	0.376073731281077	-0.127543288123596	0.898510413950129	0.958012201326883
"AT1G01020"	120.16641090474	-0.0992561858971778	0.174829192870729	-0.567732335014376	0.570216731875133	0.773768103858403
"AT1G01030"	14.5628080152322	-0.405851389163461	0.469160088773205	-0.865059494350237	0.387006135296036	0.630379738526419
"AT1G01040"	224.606535716819	0.22170358680455	0.141383915980053	1.56809623830074	0.116858674309958	0.301531592123208
"AT1G01046"	0.96337723777912	0.583897626478442	1.89333065895424	0.308397069321716	0.757780211715443	NA
"AT1G01050"	471.030491124027	0.135043755577729	0.114037019382151	1.18420979704127	0.236330024926053	0.474195932510145
"AT1G01060"	3.90727199271136	0.165406597760185	0.856944039022176	0.193019135705668	0.846943981761311	NA
"AT1G01070"	35.2816196971637	0.313602216458435	0.318446075745417	0.98478907527548	0.324727687956248	0.571733366489155
"AT1G01080"	774.568838140033	0.0424329400502436	0.100845138273433	0.420773284431324	0.673920641601277	0.839343684543052
"AT1G01090"	979.512628012682	-0.0289394368351093	0.108046264998748	-0.267843009986922	0.788820162662672	0.901715260159383
"AT1G01100"	1554.50115979437	-0.483754023453211	0.131199586532987	-3.68716118881658	0.000226769724369177	0.00195565374278561
"AT1G01110"	18.4664864795902	-0.0754537793340807	0.430514152281024	-0.175264341333028	0.860871929540441	0.940415385049225
"AT1G01120"	375.015006811783	0.35754898068978	0.132607082491642	2.69630380196559	0.00701136878664845	0.036371350952557
"AT1G01130"	17.4322629248642	0.54117762371741	0.422476588407388	1.28096476483464	0.200206042543597	0.427846965874258
"AT1G01140"	734.023255139906	0.570720444077267	0.152683848984053	3.73792282467855	0.000185546879297962	0.00164956023714112
"AT1G01150"	0.614359860759713	-0.0805312618939059	2.21397022457797	-0.0363741395434786	0.970984034184617	NA
"AT1G01160"	104.589407880672	-0.320465939670639	0.1869862212363	-1.71384788436179	0.0865566665005855	0.246387353586418
"AT1G01170"	133.915751406425	-0.183131588516875	0.210307269428518	-0.870781067218983	0.383873704708988	0.627318317933705
"AT1G01180"	164.153055617901	-0.141247327131436	0.153219574077015	-0.921862157510234	0.356600480379045	0.603219867107788
"AT1G01190"	18.336592704824	0.238066965162734	0.397463713610254	0.598965281636197	0.549196036711683	0.759161766367677
"AT1G01200"	7.18717424056261	0.87592305276484	0.660131421429027	1.32689192535128	0.184544435803116	0.406342186977411
"AT1G01210"	55.5893282599155	0.266139341688017	0.248640745179298	1.07037702728931	0.284449635468255	0.530143742998155
"AT1G01220"	209.593008646594	0.386163774085655	0.142443812444138	2.71099016138097	0.00670826167040769	0.0350861958915622
"AT1G01225"	23.9917555704068	-0.421850311146551	0.376114112422467	-1.12160192136771	0.262031734352889	0.505682295777604
